strap,landUnitValue,landUnitType,landClass,landClassDscr,GIS_sqft,GIS_acreage,status_cd
R0000701,3658.0,SF,1112.0,SINGLE FAM.RES.-LAND,3658,0.084,A 
R0000702,8286.0,SF,1112.0,SINGLE FAM.RES.-LAND,8286,0.19,A 
R0000706,12932.0,SF,1112.0,SINGLE FAM.RES.-LAND,12932,0.297,A 
R0000708,10546.0,SF,1112.0,SINGLE FAM.RES.-LAND,10546,0.242,A 
R0000709,6346.0,SF,1112.0,SINGLE FAM.RES.-LAND,6346,0.146,A 
R0000710,6940.0,SF,1112.0,SINGLE FAM.RES.-LAND,6940,0.159,A 
R0000711,6302.0,SF,1112.0,SINGLE FAM.RES.-LAND,6302,0.145,A 
R0000715,41185.0,SF,1112.0,SINGLE FAM.RES.-LAND,41185,0.945,A 
R0000716,8605.0,SF,1112.0,SINGLE FAM.RES.-LAND,8605,0.198,A 
R0000717,7212.0,SF,1112.0,SINGLE FAM.RES.-LAND,7212,0.166,A 
R0000729,11535.0,SF,1112.0,SINGLE FAM.RES.-LAND,11535,0.265,A 
R0000733,10458.0,SF,1112.0,SINGLE FAM.RES.-LAND,10458,0.24,A 
R0000734,7707.0,SF,1112.0,SINGLE FAM.RES.-LAND,7707,0.177,A 
R0000740,4353.0,SF,1112.0,SINGLE FAM.RES.-LAND,4353,0.1,A 
R0000741,10143.0,SF,1112.0,SINGLE FAM.RES.-LAND,10143,0.233,A 
R0000747,5323.0,SF,1112.0,SINGLE FAM.RES.-LAND,5323,0.122,A 
