strap,tax_yr,bldAcutalVal,LandAcutalVal,xfActualVal,totalActualVal,landAssessedVal,bldAssessedVal,xfAssessedVal,totalAssessedVal,status_cd
R0000639,2021,81430,732870,,814300,52400.0,5822.0,,58222,A 
R0000641,2021,2247400,821300,,3068700,58723.0,160689.0,,219412,A 
R0000647,2021,2084600,1158300,,3242900,82818.0,149049.0,,231867,A 
R0000649,2021,413200,529300,,942500,37845.0,29544.0,,67389,A 
R0000653,2021,421000,730700,,1151700,52245.0,30102.0,,82347,A 
R0000658,2021,634000,519700,,1153700,37159.0,45331.0,,82490,A 
R0000660,2021,425800,755100,,1180900,53990.0,30445.0,,84435,A 
R0000664,2021,349600,347200,,696800,24825.0,24996.0,,49821,A 
R0000665,2021,177010,1593090,,1770100,113906.0,12656.0,,126562,A 
R0000666,2021,210200,348800,,559000,24939.0,15029.0,,39968,A 
R0000667,2021,979400,786700,,1766100,56249.0,70027.0,,126276,A 
R0000668,2021,293900,985400,,1279300,70456.0,21014.0,,91470,A 
R0000669,2021,136900,757800,,894700,54183.0,9788.0,,63971,A 
R0000670,2021,422500,581200,,1003700,41556.0,30209.0,,71765,A 
R0000672,2021,203500,367700,,571200,26291.0,14550.0,,40841,A 
R0000674,2021,365000,626200,,991200,44773.0,26098.0,,70871,A 
R0000675,2021,423100,766900,,1190000,54833.0,30252.0,,85085,A 
R0000686,2021,304800,343100,,647900,24532.0,21793.0,,46325,A 
R0000687,2021,949300,1147300,,2096600,82032.0,67875.0,,149907,A 
R0000689,2021,121300,523700,,645000,37445.0,8673.0,,46118,A 
R0000691,2021,78000,702000,,780000,50193.0,5577.0,,55770,A 
R0000692,2021,265300,675700,,941000,48313.0,18969.0,,67282,A 
R0000695,2021,747000,501500,,1248500,35857.0,53411.0,,89268,A 
R0000697,2021,539800,744100,,1283900,53203.0,38596.0,,91799,A 
R0000699,2021,284500,968700,,1253200,69262.0,20342.0,,89604,A 
R0000700,2021,312600,768700,,1081300,54962.0,22351.0,,77313,A 
R0000701,2021,172600,622400,,795000,44502.0,12341.0,,56843,A 
R0000702,2021,128430,1155870,,1284300,82645.0,9183.0,,91828,A 
R0000706,2021,381800,770500,,1152300,55091.0,27299.0,,82390,A 
R0000708,2021,74120,667080,,741200,47696.0,5300.0,,52996,A 
R0000709,2021,265800,715500,,981300,51158.0,19005.0,,70163,A 
